Restaurant Name,Review,Rating,Date
Omar Dhiab,"C'est une expérience culinaire à faire une fois dans sa vie. Pas de chichi de grand palace, il y a des saveurs, du goût et du visuel. De l'entrée au dessert, il n'y a pas une seule erreur: votre palais reste en apesanteur devant la finesse des plats. C'est tout simplement incroyablement bon",5,2024-01-04
Omar Dhiab,"Omar Dhiab propose une cuisine inspirée de ses origines égyptiennes précise et sans fioritures où les épices ne sont jamais loin mais savent rester discrets. Le service est assurée par une jeune équipe à l'écoute, détendue et pas trop pesante. Une belle table qui n'a pas volé son étoile !",4,2023-10-27
Omar Dhiab,"Tres belle découverte, tout était bon du début à la fin. L’accord mets et vin était superbe. Une adresse à tester sans attendre.",5,2023-09-22
Les Confidences,Un cadre très agréable c’est un mariage de finesse et d’élégance. Nous avons été accueilli et traité comme des Rois. J’aurais bien voulu citer des noms mais helas. Sincèrement ce fut un voyage gustatif extraordinaire avec un personnel au soin.,5,2024-01-27
Les Confidences,"Très belle découverte dans ce restaurant avec un très beau cadre dans lequel le service y est très bien. Les plats sont délicieux, frais et copieux. Nous avons passé un très bon moment. Bon rapport/qualité prix. Je recommande !",5,2023-12-25
Les Confidences,"Une très belle découverte. Un petit hôtel avec un petit restaurant mais où le service est absolument impeccable, disponible et souriant. Nous avons été très bien accueilli et avons très bien mangé.",5,2023-12-22
Les Confidences,Ce restaurant propose une cuisine moderne et de qualité. Le menu déjeuner à 45€ proposait d’excellentes ravioles et un délicieux dessert au chocolat agrémenté de popcorn. Le service est efficace et souriant dans un joli cadre lumineux. Une adresse à retenir à proximité du Grand Palais.,5,2023-10-18
Les Confidences,Une soirée parfaite dans ce restaurant reservé via thé fork. Nous ne doutions pas qu'il était situé dans le somptueux hôtel du saint Régis. Le service parfait dans un lieu calme et cosy richement decoré. Le personnel aux petits oignons et une cuisine succulente. Bravo a toute l'équipe,5,2022-11-22
Les Confidences,"Le lieu tout d'abord, au sein de l'hôtel Sans Régis de la rue jean goujon, luxe discret, atmosphère calme et cosy. La décoration du restaurant, jardin d'hiver pastel est magnifique, le personnel attentionné sympathique et pro. Les plats ensuite, inventifs, délicieux dans une carte courte et originale. Un mini bémol pour le dessert choco un peu sec, Nous avons passé une soirée merveilleuse en se promettant d'y retourner vite.",5,2022-10-22
Les Confidences,"Que dire pour décrire comme il se doit cette expérience au restaurant Les Confidences. Il faut tout d'abord noter le cadre, l'ambiance feutrée et la MAGNIFIQUE verrière. Le restaurant porte bien son nom ! La nouvelle carte du chef est tout simplement succulente, de l'entrée au desert. Le pain perdu revisité avec un fromage à tomber, les aubergines accompagnées de tomate, crème et tuiles croquantes. En ce qui concerne, le poisson il est cuit à la perfection avec ses patates douces et sa délicieuse sauce aux moules. Un délice ! Les desserts sont aussi réconfortants et pas trop sucrés grâce au parfait équilibre des saveurs. Enfin, l'assiette de fromage est excellente avec un choix original. Je tiens à souligner la qualité de l'accueil et le professionnalisme de l'équipe, prévenante sans être obséquieuse. Un grand merci à Christophe pour ses conseils avisés ! Nous avons passé un magnifique moment et reviendrons sans hésiter !",5,2022-10-08
Les Confidences,"Charmée par ce restaurant. Tant l’environnement, très british avec un fond de jazz ou parsemé d’un peu de piano; que par les assiettes et l’appréciable accueil de chacun des membres de ce restaurant. Moi qui valorise énormément le contact humain, cette esprit calme mais chaleureux; je fus tout à fait comblé. De plus, il y avait sur chacune des tables des très belles fleurs qui s’avéraient être mes fleurs préférées. Un dynamisme et une synergie dans les goûts, les couleurs et les plaisirs; juste un mot: merveilleux. Merci pour tout. Et spécialement pour le monsieur avec un très bon accent anglais. Au plaisir!",5,2022-10-01
Les Confidences,"Des plats originaux, un cadre exceptionnel, un service très agréable et professionnel et un chef inventif. En somme, un très bon moment passé au restaurant.",5,2022-01-30
Les Confidences,"Excellent déjeuner (merveilleux quasi de veau !), desserts un peu trop sucrés à mon goût mais très bons. Service attentionné et chaleureux.",5,2021-12-25
Les Confidences,"A l'occasion d'un anniversaire, nous avons brunché en famille au restaurant Les Confidences (dans l'Hôtel San Regis) où nous avons pu apprécier la qualité du service, des mets et de leur générosité. Si vous souhaitez faire un brunch sans l'approche d'un buffet à volonté dans un cadre magnifique avec une cuisine gastronomique alors cet endroit est fait pour vous, A recommander sans modération pour un brunch en amoureux, famille. Sincèrement,",5,2021-11-02
Les Confidences,"Excellent accueil des l’instant où nous arrivons devant le San Regis. Découverte d’un endroit intimiste et plein de charme, déco raffiné, lieu paisible. Arrive ensuite le brunch, raffiné de l’entrée au dessert, en passant par de bonnes boissons chaudes et des jus pressés. Belinni et focacia délicieux, tout cela accompagné d’un service attentionné du début à la fin, un sans faute. Nous reviendrons pour un déjeuner ou un dîner, cette adresse est à garder précieusement.",5,2021-10-31
Les Confidences,"Nous avions réservé ce dimanche pour le brunch, soit disant une pépite cachée selon Un certain magazine. Le cadre est cosy certes. En fait de brunch (à 60 euros), il s agit d un repas 3 plats très bons (œuf mollé et avocat dans un nid feuilleté excellent, lasagne ouverte aux Saint Jacques. Pâtisserie H & V)… jus de fruits à volonté … mais aucune viennoiserie … et lorsqu on demande un peu de pain on vous répond « euhhh … ah oui on a des ptites boules » … un pain de qualité très médiocre qui détonne avec le cadre … Mais le pire, c est le service … qui détonne encore plus. Serait ce par pénurie de main d œuvre post covid, mais on se demande comment a été recruté le pool de serveurs ? Dans une agence de gardiennage ? Aucun tact, des serveurs qui parlent fort derrière le petit bar pour discuter du moment où aller prendre « sa clope »… le serveur qui s adresse à vous pour vous demander « vous r’voulez un jus ou un truc comme ça » ! Quand on réserve dans une adresse qui s annonce comme l’une des « plus élégantes de Paris plébiscitée depuis de nombreuses années par les plus grands spécialistes du voyage »… on hallucine devant ce style de service même pas digne d un Mac Do !!! L’élégance parisienne a du souci à se faire … et croyez moi, en terme d adresse effectivement élégante nous avons la chance d’avoir quelques références …",3,2021-10-26
Les Confidences,"Très beau cadre, personnel attentionné mais la cuisine n est pas au niveau de ce que le restaurant reflète. Les ravioles au foie gras ont peu de gout, le gout du homard est complètement caché par une sauce au champignons. Les desserts sont bons mais pas incroyables.",3,2021-09-19
Les Confidences,C’est une très bonne adresse à recommander les plats sont fins et copieux et le service est attentionné et discret la carte des vins est fournie le cadre est agréable,5,2021-07-12
Au Pays Tsingtao,"J'ai déjà mangé plusieurs fois dans ce restaurant et c'est toujours un plaisir, surtout pour faire découvrir des plats chinois à partager entre amis !",5,2024-11-11
Au Pays Tsingtao,"Excellente cuisine chinoise. Je recommande particulièrement la soupe Won ton, la salade de méduse et les raviolis qui sont tous maison",5,2024-10-19
Au Pays Tsingtao,"Conseillés par une amie parisienne, nous avons découvert un restaurant chinois authentique avec faits maison nouilles et raviolis ! Délices pour les papilles et personnel parfait",5,2023-01-27
Au Pays Tsingtao,"Je ne suis pas chinois donc mon avis ne comptera peut-être pas. J'avais un gros à priori vu le nom du resto mais... c'était bon. Différent de ce qu'on peut trouver et avec des goûts puissants (salade de méduse assez aillée). Nous nous sommes tournés vers les plats pimentés (j'aime le piment mais attention aux non habitués !). Raviolis faits devant nous. Un personnel sympathique, j'ai bien envie d'y retourner pour tester d'autres spécialités.",4,2022-08-22
Au Pays Tsingtao,"Excellente cuisine, sur place ou à emporter. Les raviolis sont succulentes. L’endroit est rustique mais chaleureux.",5,2022-07-20
Au Pays Tsingtao,"Un accueil sympa, une petite salle agréable. Des produits maison de qualité les raviolis réalisés devant vous, sont juste divins, plusieurs variétés, c’est très frais. Une cuisine chinoise typique qui revisite un peu les classiques. Des nouilles sautées maison, bref, un resto chinois à découvrir sans hésiter. Nous y retournons avec plaisir.",5,2022-06-10
Au Pays Tsingtao,Courrez y ! Restaurant de quartier de dimension internationale mais chut ! Ici tout est fait maison à petit prix. Des saveurs des saveurs et des saveurs,4,2022-02-25
Au Pays Tsingtao,"Nous flânions dans la rue sans idée précise. La personne qui confectionne les raviolis à l'entrée, c'était de bonne augure. La suite coule de source. Accueil, qualité, quantité, saveurs, fraîcheur conseils pour ma fille allergique. J'hésitais entre plusieurs plats, disant je prendrais après. La serveuse m'a dit ""ce que vous avez pris ça suffira"". Un pur délice.",5,2021-08-28
Au Pays Tsingtao,"Enfin un vrai restaurant chinois, qui nous fait voyager dans les différentes provinces à des prix modiques. Salade de méduse, poulet sauté au piment et marmite au piment sont un must.",5,2021-05-28
Au Pays Tsingtao,Très bon restaurant nous avons mangé des nouilles et raviolis fraîches au bonne saveurs de Chine. Je le recommande vivement,5,2020-10-27
Au Pays Tsingtao,"Les restaurants chinois, ce n'est pas ce qui manque à Paris. Et pourtant, des restaurants où l'on retrouve les mêmes saveurs que celles auxquelles on a pu goûter en Chine, c'est plutôt rare. Au Pays Quingdao, on retrouve justement tout ce que l'on a pu apprécier en Chine : des xiao long bao délicieux, des raviolis frais et faits maison sous vos yeux généreux, des nouilles succulentes, une salade de méduse qui n'effraiera pas les plus curieux, etc. On se croirait dans une véritable cantine chinoise, en mieux. Je recommande chaleureusement !",5,2020-10-24
Au Pays Tsingtao,"Des plats typiques, et surtout fait maison. J'y retourne toutes les semaines ! À visiter les yeux fermés",5,2020-10-01
Au Pays Tsingtao,"Petit restaurant sympa, convivial, bon accueil, cuisine de qualité, j'ai apprécié les choix proposés, le service rapide et agréable, bon conseil",5,2020-08-20
Gaya,"Excellent déjeuner dans ce restaurant du mythique chef Pierre Gagnaire. Le menu proposé est à la hauteur des espérances. Les amuses bouche présentés sont très originaux. En entrée: Carpaccio de maigre, asperges, glace aux asperges, gel de pamplemousse au cerfeuil. En plat: Daurade royale, pommes de terre ratte, tombée d'épinards et confit d'oignons. En dessert: autour du citron, financiers et roquette. Un vrai régal. Si vous avez l'occasion ne ratez pas ce restaurant et son ambiance décontractée mais feutrée. Le personnel est bien entendu, en adéquation avec le lieu et croyez moi ça ne gâche rien. Allez-y mais réservez.",4,2023-04-24
Ter,"Une nouvelle du quartier, déjà quelques mois et par encore d'avis mais ils ne vont pas tarder à être élogieux. Cuisine moderne avec touche asiatique et autres. Serveuse très amicale.",5,2024-05-31
Amo,"Un petit restaurant mais tellement bon. Petite pépite découverte au hasard et bien sans regret. Accueil très sympathique,plat magnifiques et tellement bon. Je recommande les yeux fermés",5,2024-10-19
Amo,"Très bons raviolis grillés et excellent Bibimbap. Les prix sont très corrects. Le service est rapide et efficace. La salle est petite,il peut y avoir un d’attente.",5,2024-10-17
Amo,Excellent! Original. Servis dans une jolie vaisselle. Produits frais.serveur très aimable qui prend soin de ses clients.(il vous explique même comment il fait mélanger son plat),5,2023-12-29
Amo,Cette petite cantine dénichée par hasard a été une chouette surprise. Nous avons adoré nos plats et ... nos assiettes originales en métal ainsi que l'ambiance presque familiale.,4,2023-09-13
Amo,"Un petit resto qui propose des plats coréens à 12e(menu à 16),goûteux et généreux. Le patron est un personnage ! Si vous passez par là,n'hésitez pas !",4,2023-08-30
Amo,"Nous sommes allés dans ce restaurant après avoir lu les nombreux avis très positifs. Nous connaissons la cuisine coréenne et nous nous attendions à de l'authenticité et de la qualité. Grosse déception,les plats étaient gras et médiocres. Le patron était pressé de nous voir partir. Nous déconseillons.",2,2022-12-31
Amo,Un accueil très très chaleureux et sincère!Une superbe découverte culinaire qui a ravi les parents come les enfants!A renouveller sans aucun doute!,5,2022-05-02
Amo,"Pas vraiment l'habitude de manger dans un coréen et c'est quand assz différent d'un thaï pas excellent. La cuisine est moins légère mais ca reste bon. Là,on rentre dans un tout petit restau un peu vieux avec la tv branché sur les serie coréennes,on est bien dans l'ambiance. Le patron est sympa et vous explique bien comment manger et assaisonner ses plats. C'est rapide,frais dun bon rapport qualité prix et à 500 m du parc des expo de la porte de Versailles paris. Pour le prix d'un sandwich degueu sur le salon,vous aurez le droit de déguster un bon menu maison coréen. Bref,pas mal du tout.",4,2022-03-31
Amo,Une superbe adresse coréenne avec des plats réellement délicieux et typiques. Un service plein de gentillesse et d'attention et une addition très raisonnable. Un incontournable pour un plaisir atypique.,5,2022-03-11
Amo,"Petit resto,très bien reçu Vous trouverez les plats classiques Corréen,tous épicés sauf le bibimbap",4,2022-02-27
Amo,Une très bonne adresse dans le quartier Une bonne cuisine et le service est rapide Je vais revenir !,4,2021-12-12
Amo,"Une superbe adresse,cuisine typique,décoration simplissime de bon goût. Peu de place donc pensez à réserver. 2 Entrées plat dessert et bière pour 28€ un soir,mets excellents,j’y reviendrai !",5,2021-11-28
Amo,"Diner à 2 en semaine rue du Hameau. Bonne cuisine,authentiquement coréenne,tarifs raisonnable pour le lieu. Des efforts de décoration seraient bienvenus pour cette petite salle,cela doit -être réalisable !",4,2021-09-24
Amo,"Restaurant coréen tout petit,une quinzaine de tables…resto propre sans grande décoration(le papier peint fausse pierre pourquoi pas…). Les plats sont très bons et même le pichet de vin rouge est très correct. Excellent rapport qualité prix. Le porc caramélisé dans une sauce coréenne au sesame est délicieux. Alors oui c’est pas le grand look mais le service est impeccable,c’est très bon et le tout pour une addition plus que raisonnable. 38€ a deux vin compris. Allez y les yeux fermés.",4,2021-08-24
Amo,Quelle belle découverte. On se croit vraiment à l'autre bout du monde. De belles saveurs. On devient vite un habitué. Que du bonheur,5,2020-05-09
Il Carpaccio - Le Royal Monceau Raffles Paris,Le lieu est très cosy et agréable ! Les serveurs très gentils et professionnels et les plats très joliment présentés et vraiment excellents !! Tout est très fins et très bons ! Même le pain ! Je recommande fortement pour une belle occasion car bien sûr ce n’est pas à la portée de tous !,5,2024-12-23
Il Carpaccio - Le Royal Monceau Raffles Paris,"Nous avons passé un très bon moment, tout était vraiment très bon, de l'amuse bouche au dessert en passant par le plat signature ""l'oreille d'éléphant""... Le pain est fait sur place, il est excellent et servi chaud, c'est un pur délice. Nous reviendrons essayer d'autres plats",5,2024-12-22
Il Carpaccio - Le Royal Monceau Raffles Paris,"Déçu par rapport à ma première visite. Le plat de Noël avec des Capellini noyées dans un Bouillon moyen est franchement décevant. L'addition est trop élevée avec par exemple la coupe de champagne à 58 €, du jamais vu pour moi. Dommage",3,2024-12-19
